Genome ID,species
1624.39,salivarius
1624.59,salivarius
1624.58,salivarius
1624.57,salivarius
1624.56,salivarius
1624.55,salivarius
1624.54,salivarius
1624.53,salivarius
1624.52,salivarius
1624.50,salivarius
1624.49,salivarius
1624.102,salivarius
1624.84,salivarius
1624.83,salivarius
1624.85,salivarius
1624.101,salivarius
1624.87,salivarius
1624.86,salivarius
1624.88,salivarius
1624.90,salivarius
1624.89,salivarius
1624.91,salivarius
1624.74,salivarius
1624.92,salivarius
1624.94,salivarius
1624.93,salivarius
1624.95,salivarius
1624.96,salivarius
1624.97,salivarius
1624.98,salivarius
1624.99,salivarius
1624.100,salivarius
1624.51,salivarius
1624.82,salivarius
1624.48,salivarius
1624.69,salivarius
1624.45,salivarius
1624.47,salivarius
1624.73,salivarius
1624.46,salivarius
1624.114,salivarius
1624.79,salivarius
362948.14,salivarius
